id,year,cusip,ardssic,scisect,logk,sumpat,logr,pat
1,70,800,15,0,6.0836,354,.99684,30
1,71,800,15,0,6.0836,354,.88310999,28
1,72,800,15,0,6.0836,354,.94195998,22
1,73,800,15,0,6.0836,354,1.06678,34
1,74,800,15,0,6.0836,354,1.0290101,31
1,75,800,15,0,6.0836,354,.92326999,32
1,76,800,15,0,6.0836,354,1.02309,41
1,77,800,15,0,6.0836,354,.97240001,60
1,78,800,15,0,6.0836,354,1.095,57
1,79,800,15,0,6.0836,354,1.0762399,77
2,70,1030,14,1,1.97492,13,-.45815,3
2,71,1030,14,1,1.97492,13,-.21637,1
2,72,1030,14,1,1.97492,13,.084339999,2
2,73,1030,14,1,1.97492,13,-.15087,1
2,74,1030,14,1,1.97492,13,-.68463999,2
2,75,1030,14,1,1.97492,13,-1.48519,3
2,76,1030,14,1,1.97492,13,-1.19495,2
2,77,1030,14,1,1.97492,13,-.60968,1
2,78,1030,14,1,1.97492,13,-.58082002,1
2,79,1030,14,1,1.97492,13,-.60914999,1
3,70,2824,4,1,5.6489902,493,3.3905399,48
3,71,2824,4,1,5.6489902,493,3.40697,43
3,72,2824,4,1,5.6489902,493,3.4419899,61
3,73,2824,4,1,5.6489902,493,3.5296199,63
3,74,2824,4,1,5.6489902,493,3.5854199,58
3,75,2824,4,1,5.6489902,493,3.67343,49
3,76,2824,4,1,5.6489902,493,3.7787099,42
3,77,2824,4,1,5.6489902,493,3.8220501,63
3,78,2824,4,1,5.6489902,493,3.8802099,77
3,79,2824,4,1,5.6489902,493,3.9066501,80
4,70,4644,13,0,.68377,2,.54339999,1
4,71,4644,13,0,.68377,2,.48453999,0
4,72,4644,13,0,.68377,2,.58779001,0
4,73,4644,13,0,.68377,2,.48840001,1
4,74,4644,13,0,.68377,2,.53714001,0
4,75,4644,13,0,.68377,2,.43436,0
4,76,4644,13,0,.68377,2,.33836001,0
4,77,4644,13,0,.68377,2,.36561,1
4,78,4644,13,0,.68377,2,.4386,0
4,79,4644,13,0,.68377,2,.42458999,0
5,70,7842,16,0,2.0643301,12,.39511001,2
5,71,7842,16,0,2.0643301,12,-.88894999,3
5,72,7842,16,0,2.0643301,12,-.31470999,2
5,73,7842,16,0,2.0643301,12,-.21752,1
5,74,7842,16,0,2.0643301,12,-.36157,8
5,75,7842,16,0,2.0643301,12,-1.29773,0
5,76,7842,16,0,2.0643301,12,-1.67471,0
5,77,7842,16,0,2.0643301,12,-2.1497099,0
5,78,7842,16,0,2.0643301,12,-1.32526,1
5,79,7842,16,0,2.0643301,12,-2.8338001,0
6,70,10202,3,0,5.98276,393,2.05881,32
6,71,10202,3,0,5.98276,393,2.3764601,32
6,72,10202,3,0,5.98276,393,2.42241,24
6,73,10202,3,0,5.98276,393,2.47475,38
6,74,10202,3,0,5.98276,393,2.59761,36
6,75,10202,3,0,5.98276,393,2.5606301,41
6,76,10202,3,0,5.98276,393,2.5662501,52
6,77,10202,3,0,5.98276,393,2.6026101,68
6,78,10202,3,0,5.98276,393,2.67044,74
6,79,10202,3,0,5.98276,393,2.6850901,60
7,70,13068,4,1,2.7900901,18,.01098,4
7,71,13068,4,1,2.7900901,18,.22397999,2
7,72,13068,4,1,2.7900901,18,.35697001,2
7,73,13068,4,1,2.7900901,18,.37103999,1
7,74,13068,4,1,2.7900901,18,.041030001,5
7,75,13068,4,1,2.7900901,18,-.31797001,2
7,76,13068,4,1,2.7900901,18,-.18955,3
7,77,13068,4,1,2.7900901,18,-.19877,0
7,78,13068,4,1,2.7900901,18,.078819998,2
7,79,13068,4,1,2.7900901,18,.19361,3
8,70,17753,19,0,.67783999,11,-2.3070099,0
8,71,17753,19,0,.67783999,11,-.59328002,1
8,72,17753,19,0,.67783999,11,-2.7333701,2
8,73,17753,19,0,.67783999,11,-1.71438,0
8,74,17753,19,0,.67783999,11,-1.36064,1
8,75,17753,19,0,.67783999,11,-1.80004,0
8,76,17753,19,0,.67783999,11,-1.73242,1
8,77,17753,19,0,.67783999,11,-1.56029,5
8,78,17753,19,0,.67783999,11,-1.54363,2
8,79,17753,19,0,.67783999,11,-1.55975,0
9,70,19087,3,1,7.1135802,1000,3.4486201,124
9,71,19087,3,1,7.1135802,1000,3.46926,166
9,72,19087,3,1,7.1135802,1000,3.3483601,137
9,73,19087,3,1,7.1135802,1000,3.2967701,126
9,74,19087,3,1,7.1135802,1000,3.2716501,130
9,75,19087,3,1,7.1135802,1000,3.3097501,122
9,76,19087,3,1,7.1135802,1000,3.43661,122
9,77,19087,3,1,7.1135802,1000,3.6004901,146
9,78,19087,3,1,7.1135802,1000,3.6026399,128
9,79,19087,3,1,7.1135802,1000,3.71275,89
10,70,19645,,0,5.4289799,748,3.56445,106
10,71,19645,,0,5.4289799,748,3.5044601,73
10,72,19645,,0,5.4289799,748,3.5204599,136
10,73,19645,,0,5.4289799,748,3.49331,93
10,74,19645,,0,5.4289799,748,3.4012001,108
